service_id,date,exception_type
B19147EVVHPBP-0011,20201228,1
B19147EVVHPBP-0011,20201229,1
B19147EVVHPBP-0011,20201230,1
B19147EVVHPBP-0011,20201231,1
B19601AHCTL-0011,20201201,1
B19601AHCTL-0011,20201202,1
B19601AHCTL-0011,20201203,1
B19601AHCTL-0011,20201207,1
B19601AHCTL-0011,20201208,1
B19601AHCTL-0011,20201209,1
B19601AHCTL-0011,20201210,1
B19601AHCTL-0011,20201211,1
B19601AHCTL-0011,20201214,1
B19601AHCTL-0011,20201215,1
B19601AHCTL-0011,20201216,1
B19601AHCTL-0011,20201217,1
B19601AHCTL-0011,20201221,1
B19601AHCTL-0011,20201222,1
B19603APPTL-0011,20201204,1
B19603APPTL-0011,20201218,1
B19603APPTL-0011,20201223,1
B19603APPTL-0011,20210101,1
B19605K1PPTL-0011,20201212,1
B19618ASZTL-0011,20201205,1
B19618ASZTL-0011,20201219,1
B19618ASZTL-0011,20201224,1
B19622AVVTL-0011,20201206,1
B19622AVVTL-0011,20201213,1
B19622AVVTL-0011,20201220,1
B19622AVVTL-0011,20201225,1
B19622AVVTL-0011,20201226,1
B19622AVVTL-0011,20201227,1
B47096AHCKP-0021,20201109,1
B47096AHCKP-0021,20201110,1
B47096AHCKP-0021,20201111,1
B47096AHCKP-0021,20201112,1
B47096AHCKP-0021,20201116,1
B47096AHCKP-0021,20201117,1
B47096AHCKP-0021,20201118,1
B47096AHCKP-0021,20201119,1
B47096AHCKP-0021,20201123,1
B47096AHCKP-0021,20201124,1
B47096AHCKP-0021,20201125,1
B47096AHCKP-0021,20201126,1
B47096AHCKP-0021,20201130,1
B47096AHCKP-0021,20201201,1
B47096AHCKP-0021,20201202,1
B47096AHCKP-0021,20201203,1
B47096AHCKP-0021,20201207,1
B47096AHCKP-0021,20201208,1
B47096AHCKP-0021,20201209,1
B47096AHCKP-0021,20201210,1
B47096AHCKP-0021,20201211,1
B47096AHCKP-0021,20201214,1
B47096AHCKP-0021,20201215,1
B47096AHCKP-0021,20201216,1
B47096AHCKP-0021,20201217,1
B47096AHCKP-0021,20201221,1
B47096AHCKP-0021,20201222,1
B47097APPKP-0021,20201113,1
B47097APPKP-0021,20201120,1
B47097APPKP-0021,20201127,1
B47097APPKP-0021,20201204,1
B47097APPKP-0021,20201218,1
B47097APPKP-0021,20201223,1
B47097APPKP-0021,20210101,1
B49108K1PPLA-0011,20201212,1
B50741THSZLA-0011,20201114,1
B50741THSZLA-0011,20201121,1
B50741THSZLA-0011,20201128,1
B50741THSZLA-0011,20201205,1
B50741THSZLA-0011,20201219,1
B50741THSZLA-0011,20201224,1
B50745THVVLA-0011,20201108,1
B50745THVVLA-0011,20201115,1
B50745THVVLA-0011,20201122,1
B50745THVVLA-0011,20201129,1
B50745THVVLA-0011,20201206,1
B50745THVVLA-0011,20201213,1
B50745THVVLA-0011,20201220,1
B50745THVVLA-0011,20201225,1
B50745THVVLA-0011,20201226,1
B50745THVVLA-0011,20201227,1
B63945K1HPLA-0071,20201212,1
B63945K1HPLA-0071,20201228,1
B63945K1HPLA-0071,20201229,1
B63945K1HPLA-0071,20201230,1
B63945K1HPLA-0071,20201231,1
B67837ASZLA-0071,20201114,1
B67837ASZLA-0071,20201121,1
B67837ASZLA-0071,20201128,1
B67837ASZLA-0071,20201205,1
B67837ASZLA-0071,20201219,1
B67837ASZLA-0071,20201224,1
B67840AVVLA-0071,20201108,1
B67840AVVLA-0071,20201115,1
B67840AVVLA-0071,20201122,1
B67840AVVLA-0071,20201129,1
B67840AVVLA-0071,20201206,1
B67840AVVLA-0071,20201213,1
B67840AVVLA-0071,20201220,1
B67840AVVLA-0071,20201227,1
B74155EVVPPLE-0011,20201231,1
B76359AHPMG-0011,20201109,1
B76359AHPMG-0011,20201110,1
B76359AHPMG-0011,20201111,1
B76359AHPMG-0011,20201112,1
B76359AHPMG-0011,20201113,1
B76359AHPMG-0011,20201116,1
B76359AHPMG-0011,20201117,1
B76359AHPMG-0011,20201118,1
B76359AHPMG-0011,20201119,1
B76359AHPMG-0011,20201120,1
B76359AHPMG-0011,20201123,1
B76359AHPMG-0011,20201124,1
B76359AHPMG-0011,20201125,1
B76359AHPMG-0011,20201126,1
B76359AHPMG-0011,20201127,1
B76359AHPMG-0011,20201130,1
B76359AHPMG-0011,20201201,1
B76359AHPMG-0011,20201202,1
B76359AHPMG-0011,20201203,1
B76359AHPMG-0011,20201204,1
B76359AHPMG-0011,20201207,1
B76359AHPMG-0011,20201208,1
B76359AHPMG-0011,20201209,1
B76359AHPMG-0011,20201210,1
B76359AHPMG-0011,20201211,1
B76359AHPMG-0011,20201212,1
B76359AHPMG-0011,20201214,1
B76359AHPMG-0011,20201215,1
B76359AHPMG-0011,20201216,1
B76359AHPMG-0011,20201217,1
B76359AHPMG-0011,20201218,1
B76359AHPMG-0011,20201221,1
B76359AHPMG-0011,20201222,1
B76359AHPMG-0011,20201223,1
B76359AHPMG-0011,20210101,1
B79503AVVSzN-011,20201108,1
B79503AVVSzN-011,20201115,1
B79503AVVSzN-011,20201122,1
B79503AVVSzN-011,20201225,1
B79503AVVSzN-011,20201226,1
B79503AVVSzN-011,20201227,1
B86469AHCMAA-081,20201109,1
B86469AHCMAA-081,20201110,1
B86469AHCMAA-081,20201111,1
B86469AHCMAA-081,20201112,1
B86469AHCMAA-081,20201116,1
B86469AHCMAA-081,20201117,1
B86469AHCMAA-081,20201118,1
B86469AHCMAA-081,20201119,1
B86469AHCMAA-081,20201123,1
B86469AHCMAA-081,20201124,1
B86469AHCMAA-081,20201125,1
B86469AHCMAA-081,20201126,1
B86469AHCMAA-081,20201130,1
B86469AHCMAA-081,20201201,1
B86469AHCMAA-081,20201202,1
B86469AHCMAA-081,20201203,1
B86469AHCMAA-081,20201207,1
B86469AHCMAA-081,20201208,1
B86469AHCMAA-081,20201209,1
B86469AHCMAA-081,20201210,1
B86469AHCMAA-081,20201211,1
B86469AHCMAA-081,20201214,1
B86469AHCMAA-081,20201215,1
B86469AHCMAA-081,20201216,1
B86469AHCMAA-081,20201217,1
B86469AHCMAA-081,20201221,1
B86469AHCMAA-081,20201222,1
B86471APPMAA-081,20201113,1
B86471APPMAA-081,20201120,1
B86471APPMAA-081,20201127,1
B86471APPMAA-081,20201204,1
B86471APPMAA-081,20201218,1
B86471APPMAA-081,20210101,1
B87093K1HPMAA-071,20201212,1
B87093K1HPMAA-071,20201223,1
B88527AHPMAA-051,20210101,1
B89636RA1HPKG-0011,20201109,1
B89636RA1HPKG-0011,20201110,1
B89636RA1HPKG-0011,20201111,1
B89636RA1HPKG-0011,20201112,1
B89636RA1HPKG-0011,20201113,1
B89640RA1SVKG-0011,20201114,1
B89729EVVHPKZ-0021,20201228,1
B89729EVVHPKZ-0021,20201229,1
B89729EVVHPKZ-0021,20201230,1
B89729EVVHPKZ-0021,20201231,1
B89799EVVVCBA-0011,20201228,1
B89799EVVVCBA-0011,20201229,1
B89799EVVVCBA-0011,20201230,1
B89887EVVHPMAA-011,20201228,1
B89887EVVHPMAA-011,20201229,1
B89887EVVHPMAA-011,20201230,1
B89887EVVHPMAA-011,20201231,1
B89971EVVHCSZL-011,20201228,1
B89971EVVHCSZL-011,20201229,1
B89971EVVHCSZL-011,20201230,1
B89994EVVHPLA-0011,20201228,1
B89994EVVHPLA-0011,20201229,1
B89994EVVHPLA-0011,20201230,1
B89994EVVHPLA-0011,20201231,1
B90191AHPLA-0071,20201116,1
B90191AHPLA-0071,20201117,1
B90191AHPLA-0071,20201118,1
B90191AHPLA-0071,20201119,1
B90191AHPLA-0071,20201120,1
B90191AHPLA-0071,20201123,1
B90191AHPLA-0071,20201124,1
B90191AHPLA-0071,20201125,1
B90191AHPLA-0071,20201126,1
B90191AHPLA-0071,20201127,1
B90191AHPLA-0071,20201130,1
B90191AHPLA-0071,20201201,1
B90191AHPLA-0071,20201202,1
B90191AHPLA-0071,20201203,1
B90191AHPLA-0071,20201204,1
B90191AHPLA-0071,20201207,1
B90191AHPLA-0071,20201208,1
B90191AHPLA-0071,20201209,1
B90191AHPLA-0071,20201210,1
B90191AHPLA-0071,20201211,1
B90191AHPLA-0071,20201214,1
B90191AHPLA-0071,20201215,1
B90191AHPLA-0071,20201216,1
