stop_name,stop_id,mapping_id
Keleti pályaudvar,LMXKPJ,LMXKPJ
Keleti pályaudvar,LMXKPJ,LMXKPH
Keleti pályaudvar,LMXKPJ,LM4KP2
Keleti pályaudvar,LMXKPJ,F01335
Keleti pályaudvar,LMXKPJ,LM2KP1
Keleti pályaudvar,LMXKPJ,LMXKPG
Keleti pályaudvar,LMXKPJ,LMXKPB
Keleti pályaudvar,LMXKPJ,LMXKPC
Keleti pályaudvar,LMXKPJ,LM4KP3
Keleti pályaudvar,LMXKPJ,LMXKPL
Keleti pályaudvar,LMXKPJ,LMXKPE
Keleti pályaudvar,LMXKPJ,LMXKPM
Keleti pályaudvar,LMXKPJ,LMXKPA
Keleti pályaudvar,LMXKPJ,LMXKPI
Keleti pályaudvar,LMXKPJ,LMXKPK
Keleti pályaudvar,LMXKPJ,LMXKPN
Keleti pályaudvar,LMXKPJ,F01336
Keleti pályaudvar,LMXKPJ,LMXKPD
Keleti pályaudvar,LMXKPJ,056233
Keleti pályaudvar,LMXKPJ,056234
Keleti pályaudvar,LMXKPJ,LMXKPF
Móricz Zsigmond körtér,LM4MKJ,LM4MKJ
Móricz Zsigmond körtér,LM4MKJ,LM4MKI
Móricz Zsigmond körtér,LM4MKJ,LM4MKG
Móricz Zsigmond körtér,LM4MKJ,LM4MKF
Móricz Zsigmond körtér,LM4MKJ,LM4MKA
Móricz Zsigmond körtér,LM4MKJ,LM4MK1
Móricz Zsigmond körtér,LM4MKJ,056221
Móricz Zsigmond körtér,LM4MKJ,LM4MKD
Móricz Zsigmond körtér,LM4MKJ,LM4MKH
Móricz Zsigmond körtér,LM4MKJ,056222
Móricz Zsigmond körtér,LM4MKJ,LM4MKC
Móricz Zsigmond körtér,LM4MKJ,LM4MK2
Móricz Zsigmond körtér,LM4MKJ,LM4MKE
Móricz Zsigmond körtér,LM4MKJ,LM4MKB
Móricz Zsigmond körtér,LM4MKJ,LM4MKK
Móricz Zsigmond körtér,LM4MKJ,LM4MK3
Deák Ferenc tér,F00963,F00963
Deák Ferenc tér,F00963,F00961
Deák Ferenc tér,F00963,LM1DF2
Deák Ferenc tér,F00963,LM1DF1
Deák Ferenc tér,F00963,LM1DF3
Deák Ferenc tér,F00963,F00962
Deák Ferenc tér,F00963,LMXDFD
Deák Ferenc tér,F00963,LM2DF1
Deák Ferenc tér,F00963,LMXDFB
